Date,Map,Opponent,Rokkr P1,Opponent P1,Net P1,Rokkr P2,Opponent P2,Net P2,Rokkr P3,Opponent P3,Net P3,Rokkr P4,Opponent P4,Net P4,Rokkr P5,Opponent P5,,Rokkr P6,Opponent P6,Net P6,Rokkr P7,Opponent P7,Net P7,Slaying +/-,Map W/L,Team KD Ratio,OUTSLAYED AND LOST
1-Nov,Fortress,LV,37,53,-16,89,18,71,37,63,-26,51,42,9,36,56,-20,-149,-95,-54,0,0,0,4,W,0.783505155,FALSE
1-Nov,Hotel,LV,41,26,15,72,11,61,56,0,56,34,12,22,47,3,44,0,46,-46,-184,-93,-91,30,W,1.220338983,FALSE
1-Nov,Embassy,LV,68,1,67,36,97,-61,29,68,-39,68,25,43,34,59,-25,-111,-70,-41,0,0,0,-3,L,0.728813559,FALSE
1-Nov,Mercado,LV,34,16,18,61,28,33,39,15,24,31,19,12,45,5,40,6,48,-42,0,59,-59,11,W,0.769230769,FALSE
1-Nov,Fortress,LV,51,80,-29,32,72,-40,77,13,64,24,71,-47,66,12,54,-78,-129,51,0,0,0,-8,W,0.678899083,FALSE
1-Nov,Fortress,FL,48,33,15,65,39,26,63,32,31,73,18,55,1,28,-27,-121,-79,-42,0,0,0,30,W,1.112676056,FALSE
1-Nov,Hotel,FL,17,51,-34,41,47,-6,45,46,-1,60,26,34,70,31,39,4,49,-45,-132,-129,-3,-18,L,0.607142857,FALSE
1-Nov,Embassy,FL,0,51,-51,65,35,30,53,20,33,60,44,16,66,38,28,-112,-110,-2,0,0,0,15,W,0.810126582,FALSE
1-Nov,Mercado,FL,15,41,-26,55,0,55,3,46,-43,55,0,55,47,4,43,23,29,-6,52,0,52,19,W,1.017857143,FALSE
1-Nov,Fortress,FL,60,24,36,57,43,14,67,21,46,9,79,-70,57,28,29,-138,-73,-65,0,0,0,19,W,0.916666667,FALSE
1-Nov,Hotel,FL,18,63,-45,53,40,13,91,15,76,31,71,-40,28,33,-5,20,28,-8,-143,-130,-13,-5,L,0.7,FALSE
1-Nov,Embassy,FL,20,29,-9,55,32,23,54,28,26,83,20,63,32,67,-35,-117,-83,-34,0,0,0,12,W,0.931034483,FALSE
1-Nov,Mercado,FL,25,6,19,53,0,53,33,19,14,11,42,-31,33,10,23,45,0,45,50,0,50,28,W,1.14893617,FALSE
4-Nov,Fortress,LV,67,58,9,76,18,58,58,45,13,32,39,-7,17,58,-41,-118,-79,-39,0,0,0,-12,W,0.643478261,FALSE
4-Nov,Hotel,LV,44,42,2,21,82,-61,48,57,-9,37,28,9,54,0,54,13,41,-28,-160,-154,-6,3,L,0.759493671,FALSE
4-Nov,Embassy,LV,15,28,-13,85,55,30,66,41,25,28,70,-42,56,39,17,-72,-110,38,0,0,0,18,W,0.894230769,FALSE
4-Nov,Mercado,LV,21,28,-7,50,43,7,58,41,17,25,69,-44,29,16,13,42,0,42,0,53,-53,-4,L,0.666666667,FALSE
4-Nov,Fortress,LAT,45,69,-24,84,26,58,69,26,43,4,79,-75,34,50,-16,-121,-91,-30,0,0,0,8,L,0.773584906,TRUE
4-Nov,Hotel,LAT,35,38,-3,26,79,-53,50,25,25,3,48,-45,27,15,12,2,45,-43,-94,-168,74,-16,L,0.590361446,FALSE
4-Nov,Embassy,LAT,19,40,-21,64,42,22,58,32,26,49,45,4,22,91,-69,-129,-88,-41,0,0,0,2,L,0.769230769,FALSE
4-Nov,Mercado,LAT,32,19,13,19,83,-64,85,28,57,39,26,13,0,51,-51,58,0,58,11,43,-32,-12,L,0.591397849,FALSE
4-Nov,Fortress,ATL,59,17,42,84,25,59,4,99,-95,83,22,61,20,9,11,-101,-84,-17,0,0,0,22,W,0.934210526,FALSE
4-Nov,Hotel,ATL,24,56,-32,64,16,48,5,90,-85,66,21,45,0,57,-57,29,10,19,-106,-175,69,-5,L,0.638554217,FALSE
4-Nov,Embassy,ATL,2,33,-31,39,35,4,53,57,-4,26,81,-55,82,19,63,-108,-102,-6,0,0,0,-22,L,0.536082474,FALSE
4-Nov,Mercado,ATL,25,19,6,50,61,-11,49,60,-11,23,48,-25,7,21,-14,57,0,57,0,41,-41,-13,L,0.644444444,FALSE
4-Nov,Fortress,ATL,57,30,27,23,61,-38,90,9,81,27,30,-3,53,0,53,-150,-83,-67,0,0,0,7,W,0.844155844,FALSE
4-Nov,Hotel,ATL,64,14,50,55,38,17,56,0,56,15,27,-12,27,24,3,33,21,12,-163,-121,-42,33,W,1.173076923,FALSE
4-Nov,Embassy,ATL,6,52,-46,70,16,54,37,59,-22,27,78,-51,54,45,9,-116,-88,-28,0,0,0,-8,L,0.71875,FALSE
4-Nov,Mercado,ATL,23,33,-10,66,27,39,31,80,-49,57,28,29,18,30,-12,53,0,53,0,52,-52,-10,L,0.689655172,FALSE
5-Nov,Hotel,LDN,70,4,66,21,56,-35,81,15,66,39,51,-12,30,23,7,4,41,-37,-114,-140,26,12,W,0.853932584,FALSE
5-Nov,Fortress,LDN,23,48,-25,72,40,32,93,3,90,31,55,-24,31,15,16,-138,-73,-65,0,0,0,21,W,1,FALSE
5-Nov,Embassy,LDN,48,20,28,46,62,-16,51,46,5,51,48,3,54,53,1,-123,-75,-48,0,0,0,15,W,0.861386139,FALSE
5-Nov,Hotel,LDN,30,29,1,73,22,51,14,70,-56,47,43,4,62,4,58,24,28,-4,-133,-133,0,10,W,0.845238095,FALSE
5-Nov,Fortress,LDN,48,38,10,67,29,38,56,46,10,53,0,53,26,30,-4,-111,-107,-4,0,0,0,24,W,1,FALSE
5-Nov,Embassy,LDN,20,28,-8,90,14,76,55,39,16,51,41,10,34,16,18,-150,-71,-79,0,0,0,28,W,0.967741935,FALSE
5-Nov,Mercado,LDN,13,47,-34,44,50,-6,68,5,63,11,32,-21,20,27,-7,44,0,44,50,0,50,25,W,0.969230769,FALSE
5-Nov,Fortress,FL,63,21,42,53,43,10,50,24,26,68,6,62,16,23,-7,-121,-93,-28,0,0,0,11,W,0.846153846,FALSE
